1148,Operation/Personnel Violations,3
1148,Use Of Force,7
1172,Bribery / Official Corruption,1
1172,False Arrest,5
1172,Illegal Search,21
1172,Lockup Procedures,2
1172,Operation/Personnel Violations,14
1172,Traffic,1
1172,Use Of Force,10
1172,Verbal Abuse,2
1225,Illegal Search,1
1225,Operation/Personnel Violations,2
1225,Traffic,1
1262,False Arrest,3
1262,Illegal Search,5
1262,Operation/Personnel Violations,4
1263,Domestic,1
1263,False Arrest,3
1263,Illegal Search,1
1263,Lockup Procedures,1
1263,Operation/Personnel Violations,2
1263,Use Of Force,1
1277,Conduct Unbecoming (Off-Duty),1
1277,Domestic,2
1277,False Arrest,2
1277,Illegal Search,7
1277,Lockup Procedures,3
1277,Operation/Personnel Violations,3
1277,Supervisory Responsibilities,1
1277,Traffic,2
1277,Use Of Force,9
1277,Verbal Abuse,1
1283,Domestic,1
1283,False Arrest,1
1283,Illegal Search,5
1283,Lockup Procedures,2
1283,Operation/Personnel Violations,3
1283,Use Of Force,3
1283,Verbal Abuse,1
1298,Criminal Misconduct,2
1298,Domestic,3
1298,False Arrest,4
1298,Illegal Search,4
1298,Lockup Procedures,9
1298,Operation/Personnel Violations,8
1298,Traffic,5
1298,Use Of Force,5
1317,Domestic,1
1317,Illegal Search,2
1317,Lockup Procedures,2
1317,Operation/Personnel Violations,8
1317,Use Of Force,9
1317,Verbal Abuse,1
1352,Criminal Misconduct,1
1352,False Arrest,4
1352,Illegal Search,2
1352,Lockup Procedures,1
1352,Operation/Personnel Violations,2
1352,Use Of Force,1
1352,Verbal Abuse,1
1364,Illegal Search,1
1364,Operation/Personnel Violations,5
1364,Traffic,3
1364,Use Of Force,1
1364,Verbal Abuse,4
1420,Conduct Unbecoming (Off-Duty),1
1420,Criminal Misconduct,1
1420,Domestic,2
1420,False Arrest,3
1420,Illegal Search,7
1420,Lockup Procedures,2
1420,Operation/Personnel Violations,13
1420,Racial Profiling,1
1420,Traffic,3
1420,Use Of Force,8
1420,Verbal Abuse,7
1436,Conduct Unbecoming (Off-Duty),1
1436,Domestic,1
1436,False Arrest,2
1436,Illegal Search,4
1436,Operation/Personnel Violations,5
1436,Traffic,2
1436,Use Of Force,3
1436,Verbal Abuse,1
1647,False Arrest,11
1647,Illegal Search,7
1647,Lockup Procedures,3
1647,Operation/Personnel Violations,5
1647,Use Of Force,6
1652,Conduct Unbecoming (Off-Duty),1
1652,Domestic,2
1652,False Arrest,2
1652,Illegal Search,2
1652,Lockup Procedures,1
1652,Operation/Personnel Violations,2
1652,Traffic,1
1652,Use Of Force,2
1744,Conduct Unbecoming (Off-Duty),1
1744,Operation/Personnel Violations,16
1744,Traffic,1
1744,Use Of Force,3
1747,Conduct Unbecoming (Off-Duty),1
1747,Criminal Misconduct,1
1747,False Arrest,1
1747,Illegal Search,5
1747,Operation/Personnel Violations,1
1747,Use Of Force,4
1788,Conduct Unbecoming (Off-Duty),1
1788,Domestic,1
1788,Operation/Personnel Violations,9
1788,Use Of Force,3
2015,Conduct Unbecoming (Off-Duty),2
2015,Criminal Misconduct,5
2015,Domestic,2
2015,Drug / Alcohol Abuse,1
2015,False Arrest,3
2015,Illegal Search,23
2015,Lockup Procedures,4
2015,Operation/Personnel Violations,14
2015,Supervisory Responsibilities,1
2015,Traffic,3
2015,Use Of Force,41
2015,Verbal Abuse,3
2022,Illegal Search,1
2022,Operation/Personnel Violations,3
2022,Use Of Force,2
2097,Criminal Misconduct,1
2097,Domestic,1
2097,False Arrest,2
2097,Illegal Search,1
2097,Lockup Procedures,1
2097,Operation/Personnel Violations,3
2097,Use Of Force,2
2264,Conduct Unbecoming (Off-Duty),1
2264,Domestic,1
2264,Illegal Search,2
2264,Lockup Procedures,1
2264,Operation/Personnel Violations,14
2264,Traffic,4
2264,Use Of Force,3
2264,Verbal Abuse,1
2280,Illegal Search,1
2280,Money / Property,1
2280,Operation/Personnel Violations,1
2280,Traffic,1
2423,Illegal Search,1
2423,Lockup Procedures,1
2423,Money / Property,1
2423,Operation/Personnel Violations,3
2423,Traffic,1
2470,Conduct Unbecoming (Off-Duty),1
2470,Criminal Misconduct,1
2470,False Arrest,11
2470,Illegal Search,7
2470,Lockup Procedures,3
2470,Operation/Personnel Violations,4
2470,Use Of Force,8
2527,Bribery / Official Corruption,1
2527,False Arrest,1
2527,Illegal Search,9
2527,Lockup Procedures,3
2527,Operation/Personnel Violations,1
2527,Supervisory Responsibilities,1
2527,Use Of Force,2
2563,Criminal Misconduct,1
2563,False Arrest,2
2563,Illegal Search,9
2563,Money / Property,1
2563,Operation/Personnel Violations,5
2563,Supervisory Responsibilities,2
2563,Use Of Force,4
2563,Verbal Abuse,1
2575,Domestic,1
2575,False Arrest,7
2575,Illegal Search,10
2575,Lockup Procedures,1
2575,Operation/Personnel Violations,1
2575,Supervisory Responsibilities,2
2575,Use Of Force,5
2575,Verbal Abuse,1
2681,Domestic,1
2681,False Arrest,1
2681,Operation/Personnel Violations,2
2681,Supervisory Responsibilities,1
2681,Use Of Force,1
2798,Domestic,1
2798,False Arrest,2
2798,Lockup Procedures,1
2798,Operation/Personnel Violations,1
2798,Use Of Force,4
2817,False Arrest,1
2817,Illegal Search,1
2817,Money / Property,1
2817,Operation/Personnel Violations,1
2817,Traffic,1
2817,Use Of Force,2
2833,Bribery / Official Corruption,1
2833,False Arrest,2
2833,Illegal Search,3
2833,Use Of Force,2
2909,Operation/Personnel Violations,1
2909,Use Of Force,3
3017,Criminal Misconduct,1
3017,Illegal Search,3
3017,Lockup Procedures,2
3017,Operation/Personnel Violations,9
3017,Use Of Force,7
3017,Verbal Abuse,2
3055,Bribery / Official Corruption,1
3055,Domestic,2
3055,False Arrest,1
3055,Illegal Search,3
3055,Lockup Procedures,3
3055,Operation/Personnel Violations,11
3055,Supervisory Responsibilities,3
3055,Traffic,2
3055,Use Of Force,30
3055,Verbal Abuse,11
3073,Bribery / Official Corruption,1
3073,Conduct Unbecoming (Off-Duty),1
3073,Illegal Search,1
3073,Lockup Procedures,2
3073,Operation/Personnel Violations,6
3073,Use Of Force,1
3073,Verbal Abuse,5
3164,False Arrest,1
3164,Illegal Search,1
3164,Operation/Personnel Violations,3
3164,Supervisory Responsibilities,1
3308,Illegal Search,3
3308,Lockup Procedures,1
3308,Operation/Personnel Violations,2
3383,Bribery / Official Corruption,1
3383,Conduct Unbecoming (Off-Duty),2
3383,Domestic,1
3383,False Arrest,2
3383,Illegal Search,1
3383,Lockup Procedures,5
3383,Operation/Personnel Violations,11
3383,Traffic,11
3383,Use Of Force,14
3388,False Arrest,1
3388,Illegal Search,17
3388,Lockup Procedures,3
3388,Operation/Personnel Violations,4
3388,Use Of Force,6
3549,False Arrest,2
3549,Illegal Search,8
3549,Lockup Procedures,7
3549,Operation/Personnel Violations,5
3549,Traffic,2
3549,Use Of Force,3
3562,Operation/Personnel Violations,4
3563,Domestic,1
3563,False Arrest,2
3563,Illegal Search,4
3563,Lockup Procedures,4
3563,Operation/Personnel Violations,2
3563,Traffic,1
3563,Use Of Force,6
3565,Criminal Misconduct,1
3565,Domestic,1
3565,Drug / Alcohol Abuse,1
3565,False Arrest,2
3565,Illegal Search,3
3565,Use Of Force,7
3565,Verbal Abuse,1
3605,Criminal Misconduct,1
3605,Domestic,3
3605,False Arrest,3
3605,Illegal Search,17
3605,Lockup Procedures,3
3605,Operation/Personnel Violations,3
3605,Use Of Force,20
3605,Verbal Abuse,4
3616,Conduct Unbecoming (Off-Duty),7
3616,Domestic,5
3616,False Arrest,3
3616,Illegal Search,6
3616,Lockup Procedures,2
3616,Operation/Personnel Violations,10
3616,Traffic,1
3616,Use Of Force,11
3616,Verbal Abuse,2
3765,False Arrest,4
3765,Illegal Search,1
3765,Lockup Procedures,1
3765,Operation/Personnel Violations,9
3765,Use Of Force,4
3765,Verbal Abuse,2
3793,Conduct Unbecoming (Off-Duty),1
3793,Domestic,1
