h_node31873,h_node16550,h_node28878,l_node5417
5.228531733155250549e-02,4.999995231628417969e-01,4.999995231628417969e-01,2.618798911571502686e-01
3.270184388384222984e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.381196469068527222e-01
4.164038971066474915e-02,2.489761263132095337e-01,4.999995231628417969e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.618798911571502686e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.391511689871549606e-02,2.510234117507934570e-01,0.000000000000000000e+00,2.381196469068527222e-01
1.044486649334430695e-02,2.873881906270980835e-02,1.220384798943996429e-02,8.503036201000213623e-02
2.205740101635456085e-02,1.759139746427536011e-01,1.721336841583251953e-01,2.183804214000701904e-01
1.285812258720397949e-02,3.483610972762107849e-02,3.377598524093627930e-02,1.111111138015985489e-02
1.614405307918787003e-03,1.244880631566047668e-01,8.554652333259582520e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.347010493278503418e-02,3.755114674568176270e-01,1.710930466651916504e-01,4.999995231628417969e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.709964268840849400e-04,0.000000000000000000e+00,2.433599382638931274e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.554652333259582520e-02,0.000000000000000000e+00
1.614405307918787003e-03,1.244880631566047668e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.244880631566047668e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.937286346219480038e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.457620766013860703e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.959831245243549347e-02,2.510234117507934570e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.257108990103006363e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.229202866554260254e-03,0.000000000000000000e+00,4.999995231628417969e-01,4.999995231628417969e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.633538144640624523e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.694320887327194214e-02,1.244880631566047668e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.812729359604418278e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.614405307918787003e-03,1.244880631566047668e-01,8.554652333259582520e-02,0.000000000000000000e+00
5.803627427667379379e-04,0.000000000000000000e+00,2.566395699977874756e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.008044347167015076e-02,1.642210409045219421e-02,6.026072427630424500e-03,1.647725403308868408e-01
