2018,4
2017,12
2016,16
2015,43
2014,55
2013,52
2012,79
2011,65
2010,96
2009,124
2008,135
2007,151
2006,227
2005,166
2004,346
2003,321
2002,305
2001,337
2000,297
1999,7
1998,1
1997,1
