officer_id,avg_coaccusals,avg_years_on_force_at_incident,avg_age_at_incident,gender,avg_complaint_percentile,avg_disciplined_count,cohort_id,avg_allegation_severity,max_allegation_severity
30082,1.8888888888888889,6.777777777777778,38.77777777777778,1,75.7938,0,2,10.9977777777777778,16.59
30083,2.3333333333333333,27,48,1,28.9267,0,3,3.0666666666666667,7.66
30084,1.75,6.1,49.1,1,83.0079,0,2,7.2025,16.59
30085,4.2272727272727273,4.136363636363637,49.13636363636363,1,83.7865,0.04545454545454545455,1,11.3909090909090909,17.67
30087,3.1363636363636364,16.227272727272727,45.22727272727273,1,82.8376,0.13636363636363636364,2,10.9318181818181818,17.67
30088,5.0666666666666667,6.4,48.4,0,77.5589,0.13333333333333333333,1,8.66,16.59
30089,2.3478260869565217,7.6521739130434785,29.652173913043477,1,84.1776,0,1,11.4573913043478261,16.59
30090,4.6666666666666667,5.333333333333333,35.333333333333336,0,28.0845,0,3,7.3866666666666667,9.56
30091,4.1428571428571429,5.285714285714286,34.285714285714285,0,63.7882,0,2,8.14,15.38
30092,30.2857142857142857,9.857142857142858,37.857142857142854,0,34.8095,0,2,13.2,17.67
30093,1.391304347826087,14.73913043478261,40.73913043478261,1,77.0519,0.30434782608695652174,2,10.1695652173913043,16.59
30094,10,20,46,1,0,0,3,9.56,9.56
30095,2.8260869565217391,16,52,1,94.0482,0.13043478260869565217,2,11.4756521739130435,23.21
30097,5.28125,11.5625,40.5625,1,85.0827,0,2,11.6928125,19.9
30101,1.5,0.75,32.75,1,87.704,0.25,3,10.9225,16.59
30102,2.4285714285714286,2,41,0,94.2799,0,3,3.4766666666666667,9.56
30103,1.4166666666666667,15.833333333333334,41.833333333333336,1,51.7749,0.16666666666666666667,3,6.565,16.59
30104,2.75,5.125,41.125,1,44.1175,0.25,2,10.80875,16.59
30105,1.5,0.5,29.5,0,61.8863,0.5,3,3.925,7.08
30106,2.9375,11.5,36.5,1,61.5758,0.125,2,7.743125,20.52
30107,3.813953488372093,9.279069767441861,43.27906976744186,1,97.0727,0.06976744186046511628,2,10.2065116279069767,16.59
30108,2.2307692307692308,6.384615384615385,58.38461538461539,1,79.1721,0.15384615384615384615,2,6.4676923076923077,16.59
30109,2.1578947368421053,7.315789473684211,33.31578947368421,1,77.3986,0.21052631578947368421,2,11.0678947368421053,42.38
30111,4.1403508771929825,17.29824561403509,46.29824561403509,1,95.8935,0.28070175438596491228,2,6.8150877192982456,23.21
30112,7.2222222222222222,5.111111111111111,43.111111111111114,1,72.0378,0.11111111111111111111,2,7.7744444444444444,20.52
30113,1.5,19.5,45.5,1,37.2232,0,3,7.95,9.6
30114,1.5106382978723404,19.97872340425532,48.97872340425532,1,96.076,0.08510638297872340426,2,8.5282978723404255,16.59
30115,3.0769230769230769,28.23076923076923,50.23076923076923,1,73.6389,0.07692307692307692308,3,8.8892307692307692,16.59
30116,12,2,37,1,47.4686,0,3,0.77,0.77
30118,2,3,41,1,42.4715,0.5,3,9.86,13.42
30119,1.625,12.0625,39.0625,1,78.5641,0.25,2,2.7173333333333333,8.22
30120,1.6666666666666667,9.666666666666666,41.666666666666664,0,30.8815,0,3,14.865,15
30121,1.5,6,37,1,68.6861,0.5,3,7.7175,13.42
30122,2.6666666666666667,6.111111111111111,35.111111111111114,1,60.0665,0.11111111111111111111,2,7.6555555555555556,16.59
30123,1.5,22.5,42.5,1,28.401,0,3,6.37,9.56
30127,4.5,6.25,35.25,1,85.8164,0.08333333333333333333,2,10.9141666666666667,16.59
