gender,race,allegation_count,sustained_count,honorable_mention_count,unsustained_count,discipline_count,civilian_compliment_count,trr_count,major_award_count,current_salary
M,Hispanic,65,1,16,41,1,5,17,0,96060
M,White,65,1,30,36,1,9,3,0,96060
M,White,65,2,94,20,2,4,8,0,90024
M,Black,65,1,62,30,1,1,4,0,93354
F,Black,65,18,4,24,18,6,7,0,125190
M,Black,65,16,1,36,11,0,2,0,80736
M,White,65,5,40,30,5,1,16,0,93354
M,White,65,6,33,31,5,7,31,0,93354
M,Hispanic,64,3,21,51,3,0,1,0,98766
F,Black,64,8,13,44,8,1,3,0,92316
M,Black,64,3,25,43,3,4,2,0,96060
M,White,64,3,31,28,3,4,2,0,107988
M,White,64,0,4,50,0,4,1,0,100884
M,Black,64,3,8,50,3,1,3,0,96060
M,White,64,2,44,36,2,1,13,1,95106
F,White,63,12,12,34,11,0,0,1,60600
M,Hispanic,63,10,10,30,10,1,0,0,96060
M,Black,63,11,10,32,9,2,4,1,96060
M,White,63,3,16,33,2,6,0,2,154932
M,Black,63,11,1,35,10,0,0,0,64926
M,White,63,2,48,35,2,5,24,0,107988
M,Black,63,8,39,33,7,1,7,0,96060
F,Black,63,13,6,30,12,2,5,0,96060
M,White,63,9,1,38,9,0,0,0,59412
M,White,63,8,1,33,6,2,0,0,90348
M,Black,63,1,104,12,1,5,8,3,104628
M,Black,63,11,7,34,9,2,4,0,81252
M,Black,62,4,23,48,4,6,8,0,86130
M,White,62,2,39,29,2,3,1,0,96060
M,Hispanic,62,1,36,35,1,5,17,0,107988
M,Black,62,3,51,49,2,5,1,0,111474
M,Hispanic,62,2,8,24,1,5,0,0,100980
M,Hispanic,62,2,159,30,0,2,13,1,93354
M,Hispanic,62,4,72,29,4,2,39,1,84756
M,White,62,1,47,41,0,5,9,0,111474
M,White,61,3,97,19,3,1,2,2,111474
M,White,61,4,131,20,3,4,4,1,96060
M,White,61,2,27,41,1,20,8,0,111474
M,White,61,0,176,11,0,5,59,1,86142
M,Black,61,7,5,36,4,1,6,0,95106
M,White,61,9,6,30,9,3,5,0,83706
M,White,61,7,52,32,7,4,15,0,111474
F,Black,61,1,29,26,1,4,16,0,90024
M,Hispanic,61,2,39,31,2,2,8,0,93354
M,White,61,3,21,26,3,5,11,0,93354
M,Asian/Pacific,61,1,114,16,0,17,27,1,87006
M,White,61,1,44,18,0,6,12,2,121464
M,Black,61,2,94,34,1,2,19,0,107988
M,Black,61,0,29,31,0,4,30,0,100980
M,Black,61,9,9,36,9,3,3,0,103932
M,Black,61,1,122,9,1,1,8,0,90024
M,Black,60,11,3,30,9,1,1,0,96060
M,White,60,5,12,36,5,6,8,0,97080
M,Black,60,5,18,41,5,5,2,1,92316
M,Black,60,3,13,32,3,6,0,0,93354
M,Black,60,2,9,50,1,3,0,1,62742
M,White,60,2,30,35,2,2,12,0,125190
M,Hispanic,60,4,17,36,3,0,2,0,111474
M,Native American/Alaskan Native,60,3,24,29,3,6,9,1,93354
M,White,60,4,93,31,4,5,26,0,90024
M,White,60,0,123,29,0,5,32,1,93354
M,Black,60,10,4,36,9,0,2,0,99960
M,Black,59,6,6,34,6,2,1,0,76476
M,Black,59,5,4,36,4,2,1,0,100980
M,Hispanic,59,1,142,17,1,1,10,0,90024
M,Black,59,7,37,40,6,1,7,0,99978
M,Black,59,5,8,32,6,4,9,0,90024
F,White,59,0,22,25,0,8,3,0,111474
M,Black,59,23,0,24,23,0,0,1,82878
M,White,59,2,4,22,2,0,3,0,87534
M,White,58,0,63,33,0,4,7,0,93354
M,White,58,0,8,31,0,2,1,0,96060
M,Hispanic,58,1,16,44,1,2,2,0,111474
M,Black,58,5,3,49,3,0,0,0,
M,Black,58,1,13,34,1,6,5,0,93354
M,White,58,3,67,19,2,6,11,0,93354
F,White,58,2,14,43,2,9,0,0,87888
M,Black,58,2,13,31,2,6,15,0,93354
M,Black,57,3,19,38,3,2,15,1,93354
M,White,57,1,161,12,1,4,16,1,90024
M,White,57,0,281,8,0,3,45,2,104628
M,White,57,1,109,30,1,2,19,0,93354
M,White,57,2,71,22,1,18,8,0,111474
M,Hispanic,57,1,110,24,1,6,5,0,93354
M,Hispanic,57,3,25,19,2,4,2,0,96060
M,Hispanic,57,2,30,36,2,3,8,0,93354
M,White,57,0,45,31,0,1,2,0,93354
M,Black,57,17,15,15,16,4,5,0,97044
M,White,57,4,7,39,4,3,1,0,100980
M,Hispanic,57,1,19,36,1,2,9,2,111474
M,Hispanic,57,1,22,40,1,5,12,1,93354
M,White,57,2,15,31,1,8,10,1,111474
M,Hispanic,56,1,71,28,1,3,7,0,90024
M,Hispanic,56,1,32,26,1,4,8,0,93354
M,Black,56,11,3,24,10,0,3,0,93354
M,White,56,5,20,30,4,1,11,0,111474
M,White,56,3,11,27,2,2,0,0,99756
M,White,56,1,4,31,1,3,6,0,103932
M,White,56,6,20,21,6,6,11,0,90024
M,Black,56,2,23,37,2,5,3,0,95106
M,Black,56,4,2,43,3,1,2,1,96060
M,White,56,5,46,34,4,5,16,0,105864
M,White,56,1,23,28,1,3,15,0,84756
M,White,56,3,64,32,3,5,9,0,93354
M,White,56,2,35,38,1,6,7,0,111474
M,White,56,1,177,15,1,6,11,0,87006
M,White,56,0,50,24,0,2,4,0,90024
M,White,56,6,13,28,6,4,16,0,107988
M,Black,56,10,3,36,9,0,0,0,78006
M,Hispanic,56,1,80,25,0,5,5,0,100980
M,Black,56,10,11,37,10,1,1,0,95106
M,Black,56,4,4,35,4,4,7,0,76764
M,Black,56,4,4,40,4,0,4,0,86130
M,Hispanic,56,0,56,26,0,9,7,0,93354
M,White,56,2,72,29,2,2,10,1,97440
M,White,56,7,82,25,8,12,8,1,93354
F,Black,55,4,16,33,4,1,8,0,111474
M,White,55,0,241,13,0,5,10,2,104628
M,White,55,3,12,32,3,6,3,0,96060
M,Black,55,6,4,39,6,4,0,0,67326
M,Black,55,3,5,38,3,2,2,0,103932
M,White,55,4,81,18,4,2,29,0,97440
M,Asian/Pacific,55,1,41,39,1,4,9,0,111474
M,Black,55,4,38,33,2,9,1,1,162684
M,White,55,5,4,31,3,2,0,0,86130
F,Hispanic,55,3,70,24,2,4,3,1,107988
M,Black,55,2,12,35,2,3,6,0,93354
M,Hispanic,55,2,77,34,2,3,0,0,96060
M,White,55,8,6,24,8,1,2,0,90618
M,White,54,13,2,21,11,2,0,0,
M,White,54,3,83,12,3,5,11,0,111474
M,Hispanic,54,14,30,31,14,0,6,0,83706
M,Black,54,0,83,11,0,1,13,1,90024
M,Black,54,2,13,31,2,2,8,0,90024
M,White,54,2,11,36,2,4,5,0,111474
M,Black,54,0,9,40,0,13,3,0,92316
M,Hispanic,54,9,1,35,9,0,1,0,70656
M,White,54,0,1,38,0,1,0,0,
M,Black,54,4,10,35,4,1,0,0,100980
M,White,54,1,2,39,2,1,0,0,
M,White,54,4,19,29,3,2,15,0,111474
M,White,54,0,73,22,0,6,17,0,90024
M,Hispanic,54,3,96,30,3,7,16,0,93354
M,White,54,2,147,20,2,8,19,0,87006
M,Hispanic,54,2,43,34,2,5,11,0,80724
M,Black,54,3,9,41,3,3,0,1,58572
M,Hispanic,53,2,82,34,1,2,10,0,93240
M,Hispanic,53,0,90,22,0,2,8,1,103932
M,Black,53,11,5,18,10,3,10,0,89718
M,White,53,2,157,20,1,6,18,0,93354
M,Hispanic,53,0,78,10,0,1,42,0,87006
M,Hispanic,53,22,3,16,21,3,1,0,86130
M,White,53,1,52,23,1,5,12,0,93354
M,Black,53,4,26,25,3,1,14,0,90024
M,White,53,8,55,25,7,2,8,0,107988
M,Black,53,4,13,27,3,0,7,0,83706
M,Black,53,0,238,13,0,4,5,0,87006
M,Hispanic,53,2,181,8,2,3,10,0,87006
M,White,53,0,56,31,0,4,15,0,93354
M,Hispanic,53,1,93,26,0,7,20,5,107988
M,White,53,3,5,36,3,0,2,0,89646
M,White,53,3,43,22,3,6,11,1,96060
M,Black,53,3,19,37,3,5,13,1,97440
M,White,53,2,2,28,2,2,2,0,75816
M,Black,52,7,19,21,3,2,7,0,93354
M,Black,52,5,3,39,3,1,0,0,93240
M,White,52,2,43,38,1,2,0,0,103932
M,White,52,0,95,23,0,2,6,0,93354
M,Hispanic,52,1,113,19,1,4,27,0,90024
M,White,52,5,14,25,5,4,13,1,107988
M,Black,52,2,23,23,2,1,6,1,96060
M,Black,52,6,6,38,5,1,0,0,
M,White,52,2,15,34,2,2,4,1,86130
M,White,52,0,57,33,0,5,7,0,93354
M,White,52,0,19,37,0,4,3,0,170112
M,White,52,0,1,38,0,7,0,0,102900
M,Hispanic,52,2,85,19,2,6,6,0,90024
M,Hispanic,52,2,18,20,1,1,4,0,70656
M,Black,52,15,0,30,15,0,0,0,
