race,rank,allegation_count,civilian_compliment_count,current_badge,current_salary,honorable_mention_count,unsustained_count
Hispanic,Police Officer as Detective,15,2,20385,103932,8,7
White,Police Officer,23,1,7206,90024,68,6
Black,Police Officer as Detective,27,3,21434,97440,68,12
Black,Police Officer,21,2,12983,78006,7,12
White,Sergeant of Police,24,0,2035,99960,2,12
White,Police Officer,22,1,11197,77238,4,10
White,Sergeant of Police,16,8,947,111474,0,12
White,Sergeant of Police,10,7,1297,111474,10,1
White,Police Officer,0,1,17826,90024,2,0
Black,Police Officer,10,4,18635,87006,37,3
Black,Police Officer,7,8,18320,80724,6,3
Hispanic,Police Officer,17,3,17605,92316,2,7
Black,Police Officer,8,2,8627,90024,6,3
White,Police Officer,2,1,5453,87006,6,0
Asian/Pacific,Police Officer,1,3,18958,87006,19,0
Hispanic,Police Officer,2,7,3889,87006,31,0
White,Sergeant of Police,16,5,996,107988,9,8
White,Police Officer,2,1,6400,84054,5,0
White,Police Officer,23,54,8344,89718,14,12
White,Police Officer,0,0,8546,68616,0,0
Asian/Pacific,Police Officer,1,1,9011,58896,9,0
White,Police Officer,4,7,8905,87006,52,0
White,Police Officer as Detective,7,5,20589,94122,148,3
White,Sergeant of Police,13,3,2515,107988,8,9
White,Police Officer,4,6,11775,87006,84,0
White,"",0,0,10218,48078,0,0
Hispanic,Police Officer,0,1,8842,84054,8,0
White,Police Officer,8,6,6403,90024,44,2
Black,Police Officer,0,1,17596,80016,5,0
White,Commander,6,9,10,162684,4,2
White,Police Officer,28,2,16496,85278,4,16
White,Police Officer,6,5,15646,93354,18,3
White,Police Officer,2,3,7008,84054,17,0
White,Sergeant of Police,9,5,2498,107988,9,7
White,Police Officer,26,2,20757,97440,75,5
White,Police Officer,19,2,8020,90024,120,5
Black,Sergeant of Police,4,1,840,104628,1,2
White,Police Officer,0,0,17769,48078,0,0
White,Police Officer,0,0,13055,48078,0,0
Black,Police Officer,1,1,12195,84054,20,0
Black,Lieutenant of Police,70,17,199,162684,75,46
White,Police Officer,8,5,8846,90024,20,1
Hispanic,Police Officer,3,1,19895,87006,13,0
Black,Police Officer,12,1,9864,96060,2,5
Asian/Pacific,Police Officer,1,7,5510,87006,30,0
White,Police Officer,31,9,19491,93354,50,10
Black,Sergeant of Police,82,4,2337,102978,16,35
White,Police Officer,0,2,15699,84054,15,0
Hispanic,Police Officer,20,2,7977,93354,12,10
White,Police Officer as Detective,10,1,20720,97440,41,3
Black,Sergeant of Police,5,0,1184,82422,2,4
White,Police Officer,0,0,9415,68616,4,0
White,Police Officer,12,3,12555,83604,9,8
White,Police Officer,10,3,12674,93354,4,7
White,Police Officer,16,2,3291,80724,6,4
White,Police Officer,10,4,10917,87006,53,4
White,Police Officer,43,5,13533,96060,12,19
Hispanic,Police Officer,5,4,10720,84054,68,0
Hispanic,Sergeant of Police,15,2,2438,104628,7,9
White,Police Officer,14,1,13454,87006,41,0
White,Police Officer,17,1,10229,89718,9,5
White,Sergeant of Police,13,3,1479,101958,0,10
White,Police Officer,3,7,2190,90024,19,3
White,Police Officer,1,1,9685,84054,13,0
White,Police Officer,23,3,7179,90024,81,8
White,"",0,0,7973,48078,0,0
White,"",0,0,8983,48078,0,0
White,Police Officer / Marine Officer,13,13,7887,98052,2,8
White,Police Officer,30,4,5951,90024,17,14
White,Lieutenant of Police,46,4,704,121464,10,24
White,Police Officer,2,8,11517,84054,25,1
Black,Police Officer,2,2,5531,84054,14,1
White,Police Officer,8,4,19668,93354,22,0
White,Police Officer as Detective,47,2,20870,93192,6,24
Hispanic,Police Officer,2,4,13616,84054,14,1
Black,Police Officer,4,1,17913,84054,14,1
White,Police Officer Assigned Evidence Technician,3,1,13066,94524,112,0
White,Police Officer,1,0,14247,76266,21,0
White,Sergeant of Police,8,1,853,82422,1,0
Hispanic,Police Officer,3,9,7198,87006,18,1
White,Sergeant of Police,14,2,2603,107988,26,12
White,Police Officer as Detective,10,1,21163,97440,57,4
White,Police Officer,1,0,4464,73164,3,0
Hispanic,"",1,0,12411,48078,0,0
Hispanic,Sergeant of Police,36,5,1886,111474,22,16
Hispanic,Police Officer,0,0,9952,68616,0,0
Black,Sergeant of Police,40,4,1486,107988,36,20
Hispanic,Police Officer as Detective,9,7,21401,103932,1,7
White,Police Officer as Detective,3,5,21213,100980,5,1
White,Police Officer,89,6,19638,90024,51,34
White,Police Officer as Detective,9,3,11959,98016,2,5
White,Police Officer,9,2,11102,71040,43,2
White,Police Officer,8,1,17517,85278,1,7
White,Police Officer Assigned Canine Handler,7,1,6406,90540,33,1
Black,Police Officer,11,2,11996,84054,24,1
White,Police Officer,1,0,6285,84054,33,0
White,Sergeant of Police,26,0,1595,102978,4,18
White,Police Officer,2,3,14639,90024,33,0
Hispanic,Police Officer,5,4,7059,87006,92,1
Hispanic,"",0,0,19626,48078,0,0
White,Sergeant of Police,19,8,2500,101442,66,4
White,Police Officer,16,4,7459,73116,5,9
Unknown,Police Officer,0,0,16993,48078,2,0
Hispanic,Police Officer,10,3,11040,87006,44,4
Black,Police Officer,4,1,19916,90024,2,0
Black,"",1,1,8228,93354,5,0
Black,Police Officer,17,1,13724,90024,14,9
White,Police Officer,26,2,4257,93354,134,5
Black,Police Officer,7,0,3183,90024,16,2
Hispanic,Police Officer,1,0,14640,76266,16,0
White,Sergeant of Police,16,1,1791,99960,3,11
Hispanic,Police Officer,6,1,15579,87006,5,1
Hispanic,Police Officer,2,2,18622,84054,7,0
White,Police Officer as Detective,11,3,20560,107550,126,1
Hispanic,Police Officer,0,0,14289,48078,1,0
White,Police Officer,3,3,16198,84054,33,0
Asian/Pacific,Police Officer,1,5,10025,84054,13,1
Hispanic,Police Officer,1,0,9974,68616,2,0
White,Police Officer,18,5,4135,96060,45,5
Hispanic,Police Officer,6,7,15363,87006,52,1
White,Police Officer,14,2,8174,96060,2,9
Black,Police Officer,4,1,18012,90024,3,2
Hispanic,Police Officer,14,1,13934,90024,73,4
Black,Police Officer,22,2,5023,96060,7,12
Asian/Pacific,Police Officer,0,0,13344,48078,0,0
Black,Police Officer,3,2,7423,84054,81,0
White,Sergeant of Police,17,4,1276,104628,43,6
White,Sergeant of Police,10,3,1230,104628,3,5
Black,Sergeant of Police,16,4,2027,107988,5,10
Black,Police Officer,18,3,9276,90024,4,9
Hispanic,Police Officer,41,0,17447,81252,12,21
Hispanic,Police Officer,17,4,17803,90024,15,4
Hispanic,Police Officer,1,1,3430,87006,3,0
Black,Police Officer,8,5,11774,80724,1,2
Black,Commander,55,9,231,162684,38,33
White,Police Officer,15,0,11317,95106,10,6
Black,Police Officer,15,1,9274,86130,0,9
Black,Police Officer,2,0,4877,55728,8,0
White,Police Officer,10,4,5631,87006,45,2
White,Police Officer,16,7,4247,86130,15,7
White,Police Officer,13,5,16255,87006,64,5
White,Police Officer,6,3,11551,87006,48,2
Hispanic,Sergeant of Police,24,1,1175,111474,24,7
White,Sergeant of Police,8,1,2378,111474,0,6
White,Lieutenant of Police,11,2,572,121464,40,3
Black,Police Officer,4,0,13259,74328,3,1
Hispanic,Sergeant of Police,3,4,2348,104628,11,2
White,Police Officer,0,1,13060,76266,5,0
Black,Police Officer,8,1,15339,89130,18,1
White,Police Officer,7,1,5528,90024,18,3
White,Police Officer,1,0,12920,72510,6,0
Hispanic,Police Officer,5,15,8764,93354,8,3
White,Lieutenant of Police,23,2,369,99216,11,13
White,Police Officer,21,4,5289,93354,11,11
White,Police Officer,40,1,18528,93354,42,9
Hispanic,Sergeant of Police,19,5,2527,104628,155,2
Hispanic,Police Officer,4,4,16429,87006,49,1
Hispanic,Sergeant of Police,18,5,1830,110370,11,2
White,Police Officer,14,8,20833,94122,83,3
Black,Police Officer,14,3,4437,90024,84,4
Hispanic,Police Officer,17,2,13782,87006,51,4
Black,Police Officer,11,0,18644,78012,11,4
Hispanic,"",2,4,13200,91338,38,1
Hispanic,Police Officer,16,3,14865,93354,68,7
Black,Police Officer,10,0,15079,83706,4,3
White,Police Officer,21,7,15069,90024,52,8
Hispanic,Police Officer as Detective,6,5,20727,97440,4,1
White,Police Officer,18,5,5123,87006,26,3
Hispanic,Police Officer,3,3,14118,90024,15,1
White,Commander,25,12,29,162684,10,15
Asian/Pacific,Police Officer,7,6,16340,90024,7,2
Black,Police Officer,5,1,17320,90024,8,3
Black,Police Officer,1,3,12542,90024,8,1
White,Police Officer,31,12,18908,92430,30,21
Black,Police Officer,5,3,17902,87006,27,0
White,"",0,0,12708,48078,0,0
Black,Police Officer,4,3,9717,92430,11,3
Black,Police Officer,10,1,4759,93354,1,6
White,Police Officer / Marine Officer,6,20,2866,98052,10,3
White,Police Officer,1,2,9617,90024,7,0
White,"",0,0,11448,48078,0,0
Black,Sergeant of Police,25,1,2262,102978,1,15
Hispanic,Police Officer,2,3,10264,84054,49,1
Hispanic,Police Officer,11,5,15081,90024,78,4
Hispanic,Police Officer,19,4,19244,93354,40,7
White,Police Officer,1,0,18337,48078,0,0
White,Police Officer,2,7,11844,91338,49,0
White,Police Officer as Detective,5,1,21077,93192,1,3
Black,Police Officer,21,1,10651,96060,20,5
White,Police Officer,3,1,9323,76476,2,0
White,Police Officer,2,0,12379,72510,9,0
Hispanic,Police Officer,8,3,9561,90024,30,7
White,Police Officer,13,1,4087,93354,0,11
White,Police Officer,25,3,6388,87006,98,10
Black,Police Officer,4,2,7596,83706,0,2
Hispanic,Police Officer,0,0,9885,68616,1,0
White,Police Officer,30,6,5367,90024,25,6
White,Police Officer,2,1,17724,84054,12,1
Hispanic,Police Officer,3,17,6788,87006,17,1
Black,Police Officer,10,4,19517,92430,7,2
White,Police Officer / Explosives Detective Canine Handler,20,2,13226,94524,35,8
White,Police Officer,4,6,18441,90024,29,0
White,Police Officer,4,3,15926,90024,12,1
White,Police Officer,13,6,11378,90618,11,6
White,Police Officer / Explosives Detective Canine Handler,9,2,3928,98052,6,2
Black,Police Officer,2,1,6856,90024,3,0
Black,Police Officer,15,1,19691,93354,12,9
Hispanic,Police Officer as Detective,69,8,21550,103932,19,45
White,Police Officer,39,1,3077,80724,9,21
Black,Police Officer,6,5,12870,93354,6,5
White,Police Officer,10,6,19678,93354,30,8
White,Police Officer,0,0,16474,72510,6,0
Black,Sergeant of Police,9,3,1803,102978,11,5
White,Police Officer,11,5,4051,84054,65,2
Black,Police Officer,12,3,19335,90024,4,6
White,Police Officer,0,0,15504,48078,0,0
Black,Sergeant of Police,3,3,1579,104628,3,2
Black,Police Officer,23,1,14178,95106,0,10
White,Police Officer,0,0,12720,72510,5,0
Hispanic,Police Officer,10,1,9653,87006,34,3
Hispanic,Police Officer,6,1,16077,74628,3,0
White,Sergeant of Police,14,1,842,101958,3,8
Asian/Pacific,Police Officer,7,8,15779,87006,18,1
White,Police Officer as Detective,11,2,20499,102900,2,3
Black,Sergeant of Police,7,0,838,99756,4,2
White,Police Officer,10,1,13501,90024,16,6
White,Police Officer,24,3,4733,87006,127,4
White,Police Officer / Field Training Officer,1,2,14941,88296,22,0
White,Police Officer,0,0,14653,72510,8,0
White,Sergeant of Police,4,1,820,82422,2,2
Black,Police Officer,15,5,17118,90024,39,3
Black,Police Officer,9,2,10780,90024,9,1
Black,Police Officer,5,1,16610,96060,5,3
Hispanic,Police Officer,5,3,12335,84054,60,2
White,Police Officer,18,4,11129,87006,72,6
White,Sergeant of Police,11,2,2201,107988,15,3
White,Police Officer,1,1,6259,80016,18,1
Asian/Pacific,Sergeant of Police,6,2,2304,101442,79,1
Black,Police Officer,22,1,6176,93354,11,11
Black,Police Officer,3,4,16712,90024,21,3
Hispanic,Sergeant of Police,24,7,2119,104628,8,11
Hispanic,Deputy Chief,19,9,211,170112,3,14
Hispanic,Police Officer,0,1,5920,84054,10,0
Black,Police Officer,28,1,5532,90024,3,15
Hispanic,Police Officer,2,4,3771,90024,8,0
White,Captain of Police,46,4,93,132876,46,30
Black,Police Officer,61,1,6227,95106,5,36
Black,Police Officer,7,2,5578,86142,14,0
Black,Police Officer,7,8,13144,90024,22,5
White,Police Officer,3,1,1163,87006,38,1
White,Police Officer as Detective,1,4,20082,91080,68,0
Asian/Pacific,Police Officer,0,0,15056,72510,3,0
Hispanic,Police Officer,1,0,9219,68616,1,0
Hispanic,"",0,0,11703,48078,0,0
Black,Police Officer,6,2,19994,89130,5,2
Black,Police Officer,52,1,6195,96060,23,23
White,Sergeant of Police,2,0,2279,99756,0,2
White,Sergeant of Police,12,1,1627,104628,17,7
White,Police Officer as Detective,27,3,20779,103932,9,20
White,Police Officer,61,5,16764,86142,176,11
Hispanic,Police Officer,1,0,8209,72510,7,0
White,Police Officer,1,0,14267,48078,0,0
Hispanic,Police Officer,6,4,4413,87006,35,2
White,Commander,45,10,100,162684,12,30
Black,Police Officer as Detective,10,4,21790,97440,15,2
White,Police Officer,11,9,7801,90024,40,6
White,Police Officer as Detective,29,7,21393,97440,177,11
White,Police Officer,9,2,4737,93354,12,4
Hispanic,Police Officer,4,0,15588,84054,8,0
Hispanic,Sergeant of Police,20,3,1468,101442,96,6
Hispanic,Police Officer,1,1,9706,90024,0,0
White,Police Officer as Detective,30,8,20111,100980,8,12
White,Police Officer,5,2,14703,96060,12,3
Hispanic,Lieutenant of Police,8,15,224,117894,11,4
White,Police Officer,28,2,7505,90024,22,9
Asian/Pacific,Police Officer,2,10,18289,87006,13,0
Hispanic,Police Officer,5,6,4575,93354,24,0
Black,Police Officer,9,2,3431,93354,17,2
Black,Lieutenant of Police,8,2,222,121464,4,2
Asian/Pacific,Police Officer / Explosives Detective Canine Handler,15,2,4355,100980,15,8
Black,Police Officer,1,6,19827,93354,3,0
Black,Police Officer,4,9,13239,87006,38,2
Black,Police Officer as Detective,11,3,20403,102900,1,3
White,Sergeant of Police,13,10,1053,102978,8,5
Black,Police Officer,32,5,9389,87006,84,12
White,Police Officer,23,1,14731,82878,10,18
White,Police Officer,4,2,16711,84054,8,1
White,Police Officer,0,0,12687,48078,0,0
Black,Police Officer,4,2,10227,87006,8,1
White,Police Officer,3,4,8280,90024,4,2
White,Police Officer,7,1,15144,93354,5,5
White,Police Officer,3,0,4829,84054,29,1
Hispanic,Police Officer,0,3,15333,72510,1,0
Hispanic,Police Officer,6,4,11891,84054,24,1
Black,Commander,6,2,274,162684,4,2
White,Police Officer,2,2,1453,87006,34,0
Hispanic,Police Officer,0,1,17363,80016,6,0
White,Police Officer,3,2,13320,76266,16,0
White,Police Officer,3,3,3499,96060,7,3
White,Police Officer,16,2,5025,92430,1,10
Hispanic,Police Officer,22,3,8928,87006,136,6
Hispanic,Police Officer,5,1,12622,84054,28,2
White,Commander,34,7,15,162684,129,16
White,Police Officer,50,11,17575,90024,4,24
Hispanic,Sergeant of Police,17,2,943,111474,18,7
Hispanic,Police Officer,11,5,19867,93354,18,4
Asian/Pacific,Police Officer,3,0,18360,80016,9,0
Hispanic,Police Officer,14,1,16450,87006,73,1
Hispanic,Police Officer,8,9,17738,90024,5,1
White,Police Officer as Detective,43,2,20131,100980,3,32
Black,Police Officer,10,3,3546,87006,113,1
White,Police Officer,29,5,19914,92430,21,10
Hispanic,Police Officer,8,6,11817,90024,22,2
Hispanic,"",0,0,7857,48078,0,0
Black,Police Officer,0,1,19850,93354,6,0
White,Police Officer / Marine Officer,19,11,6750,90846,6,11
White,Police Officer,6,3,12829,90024,11,0
Black,Police Officer,4,3,14151,84054,34,0
White,Police Officer,0,0,5692,87006,11,0
Hispanic,Police Officer,6,1,10620,90024,2,0
White,Police Officer,13,5,19514,87006,56,1
Black,Sergeant of Police,4,3,837,104628,12,1
Hispanic,Sergeant of Police,8,5,877,104628,51,2
White,Police Officer,1,0,13364,68616,0,0
White,Police Officer,0,0,9147,68616,0,0
Asian/Pacific,Police Officer,10,2,6859,90024,8,0
Hispanic,Police Officer,2,1,13815,84054,25,1
Asian/Pacific,Police Officer,7,3,5516,87006,3,5
White,Sergeant of Police,9,4,2058,101442,57,2
White,Police Officer,21,8,6217,90024,69,5
White,Police Officer,37,6,17285,76476,5,23
White,Police Officer / Field Training Officer,6,2,3788,84054,34,0
White,Police Officer,0,0,8331,68616,0,0
White,Police Officer,18,3,14472,75372,21,5
White,Police Officer,5,2,8673,90024,1,4
White,Police Officer as Detective,5,8,21500,100980,14,2
White,Sergeant of Police,2,8,987,101958,2,2
Hispanic,Police Officer,0,1,9270,68616,1,0
White,Police Officer,16,1,6579,84054,89,2
White,Police Officer,0,0,20541,86748,11,0
Hispanic,Police Officer,11,7,18527,87006,24,1
White,Sergeant of Police,8,4,1401,104628,12,3
White,Lieutenant of Police,14,12,372,84630,3,7
White,Police Officer Assigned Canine Handler,18,4,18766,98052,25,11
White,Police Officer,5,2,4440,87006,31,1
Hispanic,Police Officer,0,0,10404,68616,1,0
Black,Sergeant of Police,9,4,950,111474,0,2
White,Deputy Superintendent,17,11,467,163680,1,7
White,Sergeant of Police,9,4,2011,104628,19,5
Hispanic,Police Officer,2,1,17867,80016,23,0
White,Police Officer as Detective,11,3,21119,97440,13,1
White,Police Officer,3,9,14176,50490,55,0
White,Lieutenant of Police,24,2,397,125190,7,9
White,Police Officer,3,1,12266,87006,36,0
White,Sergeant of Police,14,1,2537,104628,16,4
White,Police Officer,25,0,17705,73116,7,11
White,Sergeant of Police,2,5,1292,101442,45,1
White,Police Officer as Detective,75,10,21247,100980,10,45
White,Police Officer,6,4,6015,93354,37,0
Black,Police Officer,6,4,12160,87006,16,1
White,Lieutenant of Police,7,3,363,82098,4,2
Asian/Pacific,Police Officer,8,1,11860,87006,22,0
Black,Police Officer,54,1,14650,90024,83,11
Hispanic,Police Officer,10,4,19659,93354,9,4
White,Police Officer,4,1,17719,90024,8,2
White,Police Officer,7,3,16825,90024,12,2
Hispanic,Sergeant of Police,39,7,842,107988,20,24
Hispanic,Police Officer,4,2,5941,80016,4,0
Hispanic,Sergeant of Police,20,2,2548,104628,29,9
White,Lieutenant of Police,22,2,540,121464,44,10
White,Police Officer,6,4,3506,87006,23,0
White,Sergeant of Police,24,2,1984,107988,21,17
White,Police Officer,0,0,15556,76266,7,0
White,Police Officer as Detective,10,2,20600,103932,1,8
Hispanic,Police Officer,3,4,7051,87006,26,1
Asian/Pacific,Sergeant of Police,6,1,1924,111474,0,4
Black,Police Officer,1,0,8431,68616,2,0
White,Police Officer,4,11,4491,93354,13,2
White,Police Officer,13,2,3121,93354,4,6
White,Police Officer,7,2,16923,90024,95,1
White,Police Officer,2,2,7845,84054,63,0
White,Police Officer,6,2,7345,84054,33,1
Hispanic,Police Officer,26,6,7877,93354,38,14
White,Police Officer,4,6,4174,90024,11,0
Asian/Pacific,Police Officer,0,1,16930,87006,11,0
White,Police Officer,6,4,12782,87006,11,2
White,Police Officer,9,1,17612,85662,3,8
White,Police Officer,26,1,11110,93240,8,17
Hispanic,Sergeant of Police,14,2,1117,101442,31,4
Black,Police Officer,3,1,13596,93354,4,1
Hispanic,Police Officer,11,2,4509,87006,86,1
White,Police Officer,15,6,7670,78012,31,4
White,Police Officer as Detective,16,2,20353,100980,4,11
Black,Police Officer,5,1,17154,92430,0,3
Black,Police Officer,18,1,17178,87006,17,3
White,Police Officer,3,1,19296,80016,5,1
Hispanic,Police Officer as Detective,5,5,20782,100980,35,3
Hispanic,Police Officer,8,8,4853,87006,23,5
Black,Police Officer,0,0,16733,48078,1,0
Black,Police Officer,8,1,10895,96060,4,4
Hispanic,Police Officer,6,4,8042,84054,42,1
Black,Police Officer,21,1,10048,87006,44,1
White,Police Officer,0,0,18245,48078,0,0
White,Police Officer,1,1,11325,87006,7,0
White,Police Officer,0,0,16496,48078,0,0
Hispanic,Police Officer,22,1,17714,91404,12,9
White,Sergeant of Police,7,0,1323,82422,10,2
Black,Police Officer,4,3,10515,83706,11,1
Hispanic,Police Officer,9,1,7209,86520,21,2
White,Sergeant of Police,15,3,1038,107988,4,10
White,Police Officer,21,3,7696,78360,52,14
White,Police Officer,24,3,16149,93354,23,19
White,Sergeant of Police,20,4,2552,106068,1,14
White,Police Officer,7,1,19522,93354,14,3
White,Lieutenant of Police,31,6,359,84630,6,14
Hispanic,"",0,0,14671,48078,0,0
Hispanic,Police Officer,8,2,19498,87006,22,0
White,Police Officer,0,0,19212,48078,2,0
White,Police Officer,2,2,19014,93354,2,2
White,"",0,0,11716,48078,0,0
Black,Police Officer,4,9,19514,92430,4,0
Black,Police Officer,5,2,15719,87006,8,1
Hispanic,Police Officer,16,7,10649,87006,78,4
Asian/Pacific,Sergeant of Police,25,8,1582,104628,61,13
Hispanic,Police Officer,18,4,12749,93354,90,7
Hispanic,Police Officer,4,3,16371,87006,35,1
White,Police Officer,2,1,17839,80016,13,1
White,Police Officer,10,3,15319,90024,10,6
White,Police Officer,1,0,16688,76266,9,0
White,Police Officer,7,2,12515,86130,14,4
Black,Police Officer as Detective,3,1,20538,100980,5,0
White,Police Officer,3,9,3529,92430,7,1
White,Police Officer,1,0,11871,84054,5,0
White,Lieutenant of Police,26,32,693,125190,5,18
Black,Police Officer as Detective,3,3,21218,97440,18,0
Hispanic,Police Officer,11,2,6265,87006,23,1
Hispanic,Police Officer,31,8,3989,83706,35,19
White,Police Officer,13,4,15268,87006,49,2
Hispanic,Police Officer as Detective,26,4,20751,103932,1,20
Black,Police Officer,21,1,9334,90024,19,6
White,Police Officer as Detective,8,1,21219,100980,2,0
Native American/Alaskan Native,Police Officer,5,6,17135,87006,18,1
Black,Police Officer,0,0,8592,68616,1,0
Black,Police Officer,22,0,17061,95106,2,2
White,Lieutenant of Police,30,4,572,99642,13,14
White,Police Officer,9,8,7673,78012,36,4
White,Lieutenant of Police,3,2,761,117894,10,1
White,Police Officer,12,2,19612,93354,3,6
White,Police Officer,16,2,16315,75372,50,3
White,Police Officer,22,4,17530,93354,15,6
Black,Police Officer,10,1,19806,93354,27,1
White,Police Officer,11,5,3051,87006,28,1
White,Sergeant of Police,16,1,2513,111474,4,9
Hispanic,Police Officer,3,3,19564,93354,5,2
White,Chief,23,13,401,185364,4,15
White,Police Officer,8,3,12588,78012,18,0
White,Police Officer,3,11,5891,87006,55,0
Black,Police Officer,17,5,6994,90024,13,6
White,Police Officer,3,1,15257,87006,17,0
White,Police Officer,13,4,19410,90024,9,6
White,Police Officer,66,4,10409,74328,3,45
White,Police Officer,3,4,6699,80016,76,0
Hispanic,Police Officer,0,0,16719,48078,0,0
White,Police Officer,1,0,21132,86748,15,0
Black,Police Officer / Field Training Officer,3,2,5593,91338,12,0
White,Police Officer,42,3,18832,89718,28,27
White,Police Officer,0,0,15834,76266,5,0
Hispanic,Sergeant of Police,7,4,2236,104628,11,5
White,Police Officer,9,9,19502,90024,40,2
Hispanic,Police Officer,8,1,7227,87006,35,1
White,Explosives Tech I,4,3,2100,114846,2,1
Black,Police Officer,21,2,10689,92430,21,12
White,Police Officer,1,0,16229,76266,5,0
Asian/Pacific,Police Officer,9,3,11906,87006,73,1
Hispanic,Police Officer,2,4,8170,87006,22,1
White,Police Officer as Detective,16,4,21015,97440,30,4
White,Police Officer,21,15,17145,87006,106,3
Hispanic,Police Officer,3,3,14598,86142,5,1
White,Police Officer,0,0,5741,48078,0,0
White,Police Officer,0,0,15413,48078,4,0
Black,Police Officer,4,9,8664,78006,6,4
White,Police Officer,15,3,11412,93354,9,8
Hispanic,Police Officer,0,0,14229,76266,7,0
Hispanic,Police Officer,0,2,15431,76266,5,0
Black,Lieutenant of Police,26,2,404,125190,12,15
White,Police Officer,21,7,16523,93354,21,11
White,Police Officer,19,5,2998,87006,29,1
White,Police Officer,12,3,15652,95106,10,7
White,Police Officer,13,7,16546,87006,55,1
Black,Police Officer as Detective,7,1,20369,103932,1,4
White,Police Officer,17,2,9142,96060,30,7
Hispanic,Police Officer,47,2,19901,90024,20,21
Hispanic,Police Officer,57,5,18664,93354,22,40
Hispanic,Police Officer,22,1,14601,92316,68,11
Black,Police Officer,7,0,3678,74628,4,2
White,"",0,0,8965,48078,0,0
Hispanic,Police Officer,23,1,15379,90024,54,5
White,Police Officer,9,1,14831,96060,4,6
White,Sergeant of Police,20,20,2024,104628,98,4
Black,Police Officer,7,1,8023,92430,8,4
White,Police Officer as Detective,45,3,21222,90456,3,34
White,Police Officer,1,0,16631,80016,16,0
Black,Police Officer,0,1,9823,87006,22,0
Black,Police Officer as Detective,24,1,20197,100980,8,21
Black,Police Officer,4,2,17170,84054,37,0
Hispanic,Police Officer,0,0,13142,48078,0,0
Black,Police Officer,11,2,5636,87006,21,3
White,Sergeant of Police,17,0,2045,99960,3,2
Hispanic,Police Officer,0,0,17648,72510,2,0
Hispanic,Police Officer,1,0,18612,76266,9,1
White,Police Officer,7,2,19257,90024,12,4
White,Lieutenant of Police,4,1,218,125190,5,3
Black,Police Officer,36,3,13713,81252,21,25
Hispanic,Sergeant of Police,5,1,2230,104628,0,3
Black,Police Officer,30,3,6001,90024,15,6
White,Police Officer,7,7,17142,86130,12,3
Hispanic,"",0,0,9805,48078,0,0
White,Sergeant of Police,35,4,1922,111474,15,24
White,Police Officer,0,0,17121,72510,8,0
White,Police Officer,14,0,15966,66924,10,5
White,Sergeant of Police,16,9,980,93276,10,9
Asian/Pacific,Commander,8,36,660,123948,2,2
Black,Police Officer Assigned Evidence Technician,5,0,19972,81900,63,1
White,Police Officer,22,1,17491,82878,18,7
White,Police Officer,7,3,8703,93354,4,3
Hispanic,"",0,0,8649,48078,0,0
White,Police Officer,1,2,10222,87006,37,0
White,Police Officer,3,1,7816,84054,9,0
Hispanic,Police Officer,3,1,10070,75372,64,2
White,Police Officer,43,3,13208,93354,11,25
Hispanic,"",0,0,10523,48078,0,0
White,Sergeant of Police,9,12,1812,107988,4,5
White,Police Officer,6,7,12426,90024,26,2
Hispanic,Police Officer,5,1,13744,84054,49,1
Hispanic,Police Officer,32,4,17317,89130,69,12
Hispanic,Police Officer,24,2,19146,90024,181,8
Black,Sergeant of Police,48,2,1751,111474,13,25
White,Police Officer,5,1,9091,80724,3,3
White,Lieutenant of Police,28,2,743,125190,3,11
White,Police Officer,3,6,20042,94122,54,0
Hispanic,Police Officer,6,4,6512,90024,8,2
Black,Police Officer,72,3,6056,81252,13,41
White,Police Officer,24,10,15064,93354,108,10
Hispanic,Police Officer,3,1,15575,76266,8,0
Asian/Pacific,Police Officer as Detective,1,7,21137,91080,27,0
Hispanic,Police Officer,0,3,4496,84054,10,0
Hispanic,Police Officer,2,0,15672,76266,7,1
Hispanic,Police Officer,2,0,18686,76266,7,0
Black,Sergeant of Police,8,9,2004,111474,110,4
Hispanic,Police Officer,1,0,16336,76266,10,0
Hispanic,Police Officer,7,3,2819,87006,55,0
Black,Police Officer,16,1,9259,85278,7,7
White,Police Officer,35,3,15329,86142,107,12
White,Police Officer,19,10,3696,90024,79,0
White,Police Officer as Detective,27,6,20269,103932,8,14
Hispanic,Police Officer,17,4,15514,90024,62,6
Asian/Pacific,Police Officer,1,2,15439,80016,12,0
White,Police Officer as Detective,18,5,20864,103932,8,11
Hispanic,Police Officer,0,0,15018,72510,13,0
Hispanic,Police Officer / Field Training Officer,3,4,16472,91338,24,2
White,Police Officer,9,9,18544,87006,44,1
White,Sergeant of Police,7,1,1970,110370,12,6
White,Sergeant of Police,21,3,1698,112566,9,13
White,Police Officer,7,1,13673,47562,65,3
Black,Police Officer,6,4,11196,84054,9,0
Hispanic,Police Officer,3,5,5711,87006,22,0
Hispanic,Police Officer,27,1,16147,96060,12,12
White,Police Officer,13,9,3307,87006,37,3
Hispanic,"",0,0,13715,48078,0,0
Asian/Pacific,Police Officer,11,4,1990,96060,8,7
Hispanic,Police Officer,6,6,16463,84054,22,1
White,Sergeant of Police,24,7,1376,104628,14,8
Hispanic,Sergeant of Police,60,0,804,111474,17,36
White,Police Officer,0,0,14196,48078,1,0
Hispanic,Police Officer,10,2,6751,92316,8,3
