officer_id,event_date,award,complaint
21491,2016-02-04,true,false
21491,2016-02-05,true,false
21491,2016-02-11,true,false
21491,2016-02-28,true,false
21491,2016-03-18,true,false
21491,2016-03-25,true,false
21491,2016-04-13,true,false
21491,2016-04-18,true,false
21491,2016-05-10,true,false
21491,2016-06-06,true,false
21491,2016-07-18,true,false
21491,2016-08-16,true,false
21491,2016-08-26,true,false
21491,2016-10-15,true,false
21491,2016-12-26,true,false
21491,2017-02-01,true,false
21491,2017-02-16,true,false
21491,2017-02-19,true,false
21491,2017-05-17,true,false
21491,2017-07-24,true,false
25613,2001-12-17,true,false
25613,2003-06-16,false,true
25613,2004-01-01,true,false
25613,2005-08-28,false,true
25613,2005-09-20,true,false
25613,2005-09-26,true,false
25613,2005-11-23,true,false
25613,2006-01-30,true,false
25613,2006-02-05,true,false
25613,2006-02-05,true,false
25613,2006-03-05,true,false
25613,2006-04-06,false,true
25613,2006-08-23,true,true
25613,2006-12-14,true,false
25613,2007-01-02,true,false
25613,2007-02-01,true,false
25613,2007-02-01,true,false
25613,2007-09-02,false,true
25613,2007-10-20,true,false
25613,2007-12-13,true,false
25613,2008-05-03,true,false
25613,2008-06-11,true,false
25613,2008-06-21,true,false
25613,2008-11-01,true,false
25613,2008-11-04,true,false
25613,2009-01-01,true,false
25613,2009-01-08,true,false
25613,2009-03-11,true,false
25613,2009-07-20,true,false
25613,2009-07-26,true,false
25613,2009-09-13,true,false
25613,2009-09-30,true,false
25613,2009-10-29,true,false
25613,2009-12-30,true,false
25613,2010-02-26,true,false
25613,2010-04-12,true,false
25613,2010-07-09,true,false
25613,2010-07-20,true,false
25613,2010-08-05,true,true
25613,2010-08-05,true,true
25613,2010-08-09,true,false
25613,2010-08-10,false,true
25613,2010-09-03,true,false
25613,2010-10-09,true,false
25613,2010-10-29,true,false
25613,2011-04-17,true,false
25613,2011-07-12,true,false
25613,2011-08-22,true,false
25613,2011-10-29,true,false
25613,2011-11-06,true,false
25613,2011-11-09,true,false
25613,2012-01-26,true,false
25613,2012-02-19,true,false
25613,2012-03-05,true,false
25613,2012-03-26,true,false
25613,2012-03-27,true,false
25613,2012-05-18,true,false
25613,2012-05-18,true,false
25613,2012-08-10,true,false
25613,2012-09-21,true,false
25613,2012-10-27,true,false
25613,2012-11-03,true,false
25613,2012-12-17,true,false
25613,2012-12-18,true,false
25613,2012-12-23,true,false
25613,2013-01-25,true,false
25613,2013-04-26,true,false
25613,2013-07-10,true,false
25613,2013-12-15,true,false
25613,2013-12-19,true,false
25613,2013-12-22,true,false
25613,2014-01-01,true,false
25613,2014-02-02,true,false
25613,2014-02-16,true,false
25613,2014-04-27,true,false
25613,2014-05-06,true,false
25613,2014-06-14,true,false
25613,2014-09-12,true,false
25613,2014-10-11,true,false
25613,2014-12-23,true,false
25613,2015-01-15,true,false
25613,2015-01-25,true,false
25613,2015-01-25,true,false
25613,2015-01-27,true,false
25613,2015-04-08,true,false
25613,2015-04-28,true,false
25613,2015-07-02,true,false
25613,2015-08-02,true,false
25613,2015-08-30,true,false
25613,2015-11-24,true,false
25613,2016-08-02,true,false
25613,2016-09-12,true,false
25613,2016-09-30,true,false
25613,2016-10-15,true,false
25613,2016-11-16,true,false
25613,2016-12-10,true,false
25613,2017-01-21,true,false
29310,2002-07-04,false,true
29310,2003-09-18,false,true
29310,2004-06-18,false,true
29310,2004-07-11,false,true
29310,2004-09-14,false,true
29310,2005-03-23,true,false
29310,2005-08-10,false,true
29310,2005-12-20,true,false
29310,2006-01-01,true,false
29310,2006-01-04,true,false
29310,2006-02-03,false,true
29310,2006-04-01,true,false
29310,2006-04-07,true,false
29310,2006-04-22,false,true
29310,2006-06-12,false,true
29310,2006-06-14,false,true
29310,2006-09-01,true,false
29310,2007-06-10,true,false
29310,2007-07-04,true,false
29310,2007-07-09,false,true
29310,2007-07-13,false,true
29310,2007-08-21,true,true
29310,2007-10-19,true,false
29310,2008-04-06,false,true
29310,2008-09-14,true,false
29310,2008-09-17,true,false
29310,2008-10-28,true,false
29310,2008-10-29,true,false
29310,2008-11-04,true,false
29310,2009-01-01,true,false
29310,2009-02-01,true,false
29310,2009-07-14,false,true
29310,2010-08-27,true,true
29310,2010-09-20,true,false
29310,2010-10-13,false,true
29310,2010-10-29,true,false
29310,2011-03-01,true,false
29310,2011-03-19,false,true
29310,2011-08-22,true,false
29310,2012-03-07,true,false
29310,2012-05-18,true,false
29310,2012-05-18,true,false
29310,2012-12-03,true,false
29310,2013-01-19,true,false
29310,2013-01-23,false,true
29310,2013-03-04,false,true
29310,2013-06-04,true,false
29310,2013-06-17,true,false
29310,2013-12-01,false,true
29310,2013-12-22,true,false
29310,2014-04-19,false,true
29310,2014-08-01,false,true
29310,2014-10-20,false,true
29310,2014-10-20,false,true
31980,2003-05-08,false,true
31980,2003-08-23,false,true
31980,2003-09-24,false,true
31980,2004-04-15,false,true
31980,2005-02-01,true,false
31980,2005-09-20,true,false
31980,2006-01-14,true,false
31980,2006-01-22,true,false
31980,2006-03-01,true,false
31980,2006-03-07,true,false
31980,2006-03-07,true,false
31980,2006-03-14,true,false
31980,2006-03-14,true,false
31980,2006-03-22,true,false
31980,2006-07-12,true,false
31980,2006-08-04,true,false
31980,2006-08-13,true,false
31980,2006-10-14,true,false
31980,2006-10-30,true,false
31980,2006-11-17,true,false
31980,2006-11-21,true,false
31980,2006-12-13,true,false
31980,2006-12-26,true,false
31980,2007-01-04,false,true
31980,2007-01-28,true,false
31980,2007-02-14,true,false
31980,2007-03-13,true,false
31980,2007-04-06,true,false
31980,2007-05-13,true,false
31980,2007-05-17,true,false
31980,2007-06-01,true,false
31980,2007-06-04,true,false
31980,2007-06-11,true,false
31980,2007-06-27,true,false
31980,2007-06-27,true,false
31980,2007-07-03,true,false
31980,2007-08-09,true,false
31980,2007-08-24,true,false
31980,2007-08-30,true,false
31980,2007-09-01,true,false
31980,2007-10-01,true,false
31980,2007-10-20,true,false
31980,2007-10-21,true,false
31980,2007-10-23,true,false
31980,2007-11-13,false,true
31980,2007-12-09,true,false
31980,2007-12-17,true,false
31980,2007-12-30,true,false
31980,2008-01-15,true,false
31980,2008-01-15,true,false
31980,2008-01-17,true,false
31980,2008-01-26,true,false
31980,2008-02-01,true,false
31980,2008-02-17,true,false
31980,2008-02-29,true,false
31980,2008-03-17,true,false
31980,2008-03-29,true,false
31980,2008-04-01,true,true
31980,2008-04-08,true,false
31980,2008-04-24,true,false
31980,2008-04-29,true,false
31980,2008-05-27,true,false
31980,2008-06-19,false,true
31980,2008-06-26,true,false
31980,2008-06-26,true,false
31980,2008-06-30,true,false
31980,2008-07-19,true,false
31980,2008-07-22,true,false
31980,2008-07-24,true,false
31980,2008-09-03,true,false
31980,2008-09-17,true,false
31980,2008-09-17,true,false
31980,2008-10-18,true,false
31980,2008-11-04,true,false
31980,2008-11-08,true,false
31980,2008-11-16,true,false
31980,2008-11-30,false,true
31980,2008-12-09,true,false
31980,2009-01-01,true,false
31980,2009-01-08,true,false
31980,2009-01-10,true,false
31980,2009-01-22,true,false
31980,2009-02-13,true,false
31980,2009-02-19,true,true
31980,2009-03-25,true,false
31980,2009-03-28,true,false
31980,2009-05-20,true,false
31980,2009-05-27,true,false
31980,2009-06-04,false,true
31980,2009-06-27,true,false
31980,2009-09-13,true,false
31980,2009-09-19,true,false
31980,2009-10-08,true,false
31980,2009-11-20,true,false
31980,2009-12-03,true,false
31980,2009-12-16,true,false
31980,2010-01-06,true,false
31980,2010-01-15,true,false
31980,2010-02-02,true,false
31980,2010-02-25,true,false
31980,2010-03-19,true,false
31980,2010-03-20,true,false
31980,2010-03-26,false,true
31980,2010-04-14,false,true
31980,2010-07-13,true,false
31980,2010-08-01,true,false
31980,2010-10-04,true,false
31980,2010-10-12,true,true
31980,2010-10-12,true,true
31980,2010-10-15,true,false
31980,2010-10-16,true,false
31980,2010-10-27,true,false
31980,2010-11-11,true,false
31980,2010-11-20,true,false
31980,2010-12-08,true,false
31980,2010-12-23,true,false
31980,2011-01-02,true,false
31980,2011-01-08,true,false
31980,2011-01-10,false,true
31980,2011-02-01,true,true
31980,2011-02-14,true,false
31980,2011-02-27,true,false
31980,2011-03-03,true,false
31980,2011-03-04,true,false
31980,2011-03-11,true,false
31980,2011-03-14,true,false
31980,2011-04-25,true,false
31980,2011-06-12,true,false
31980,2011-07-12,true,false
31980,2011-07-20,true,false
31980,2011-07-21,true,false
31980,2011-07-26,true,false
31980,2011-08-05,true,false
31980,2011-08-08,true,false
31980,2011-08-08,true,false
31980,2011-08-11,true,false
31980,2011-08-14,true,false
31980,2011-08-16,true,false
31980,2011-08-25,true,false
31980,2011-08-31,true,false
31980,2011-10-10,true,false
31980,2011-10-12,true,false
31980,2011-10-23,true,false
31980,2011-11-09,true,false
31980,2011-11-12,true,false
31980,2011-12-27,true,false
31980,2012-01-10,true,false
31980,2012-01-15,true,false
31980,2012-01-17,true,false
31980,2012-02-08,true,false
31980,2012-02-19,true,false
31980,2012-03-22,true,false
31980,2012-04-03,true,false
31980,2012-04-09,true,false
31980,2012-05-18,true,false
31980,2012-05-18,true,false
31980,2012-05-28,true,false
31980,2012-06-20,true,false
31980,2012-06-21,true,false
31980,2012-07-03,true,false
31980,2012-07-27,true,false
31980,2012-07-31,true,false
31980,2012-08-25,true,false
31980,2012-08-31,true,false
31980,2012-09-04,true,false
31980,2012-09-26,true,false
31980,2012-11-13,false,true
31980,2012-11-16,true,false
31980,2012-11-18,true,false
31980,2012-12-01,true,false
31980,2012-12-29,true,false
31980,2013-01-01,true,false
31980,2013-04-19,true,false
31980,2013-07-29,true,false
31980,2013-11-25,true,false
31980,2014-01-22,true,false
31980,2014-01-28,true,false
31980,2014-02-05,false,true
31980,2014-02-10,false,true
31980,2014-03-18,true,false
31980,2014-05-05,true,false
31980,2014-07-15,true,false
31980,2014-07-16,true,false
31980,2014-07-26,true,false
31980,2014-09-17,false,true
31980,2014-10-01,true,false
31980,2014-10-13,true,false
31980,2014-10-26,false,true
31980,2014-11-11,true,false
31980,2014-11-29,true,false
31980,2014-12-17,true,false
31980,2014-12-19,false,true
31980,2014-12-20,true,false
31980,2014-12-30,false,true
31980,2015-01-06,true,false
31980,2015-01-29,true,false
31980,2015-02-22,true,false
31980,2015-03-02,true,false
31980,2015-09-27,true,false
31980,2015-09-28,true,false
31980,2015-10-08,true,false
31980,2015-10-10,true,false
31980,2015-10-20,false,true
31980,2016-01-04,true,false
31980,2016-03-04,true,false
31980,2016-03-04,true,false
31980,2016-03-17,true,false
31980,2016-03-23,true,false
31980,2016-09-21,true,false
31980,2016-09-26,true,false
31980,2017-01-28,true,false
