,officer_id,avg_coaccusals,avg_years_on_force_at_incident,avg_age_at_incident,gender,avg_complaint_percentile,avg_disciplined_count,cohort_id,avg_allegation_severity,max_allegation_severity,compound,neg,neu,pos
4788,6938,2.294117647058824,4.764705882352942,28.764705882352942,1,90.3599,0.0,2,9.676470588235295,42.38,,,,
4789,6939,2.0,28.0,52.0,1,17.8537,0.0,3,0.77,0.77,,,,
4790,6940,2.0,26.66666666666667,47.66666666666666,1,54.4285,0.0,3,12.48,17.67,,,,
4791,6942,4.692307692307692,6.0769230769230775,42.07692307692308,1,81.5177,0.0,2,11.92,16.59,,,,
4794,6947,4.083333333333333,4.916666666666667,35.916666666666664,1,64.7129,0.0,2,11.23,16.59,,,,
4795,6949,3.75,4.892857142857143,34.892857142857146,1,93.2024,0.0,1,10.284814814814816,42.38,,,,
4796,6950,2.375,6.625,33.625,1,79.9434,0.0,2,13.3825,17.67,,,,
4799,6953,5.428571428571429,3.4285714285714284,27.42857142857143,1,53.7236,0.0,2,11.562857142857144,17.67,,,,
4800,6954,1.6666666666666667,6.5,34.5,0,40.0329,0.0,3,5.826666666666666,9.6,,,,
4801,6955,2.2222222222222223,3.111111111111111,28.11111111111111,1,81.8692,0.0,2,8.429444444444444,16.59,,,,
4802,6957,2.352941176470588,10.352941176470589,43.352941176470594,0,72.8363,0.1764705882352941,3,6.115882352941177,14.73,,,,
4803,6958,4.333333333333333,21.0,43.0,1,0.0,0.0,3,9.57333333333333,9.6,,,,
4805,6961,2.333333333333333,33.666666666666664,55.66666666666666,1,22.4238,0.0,3,11.06333333333333,16.59,,,,
4806,6962,4.333333333333333,2.6666666666666665,31.66666666666667,1,67.3682,0.0,2,14.246666666666666,16.59,,,,
4807,6963,1.3333333333333333,9.333333333333334,34.333333333333336,0,30.6064,0.0,3,0.6833333333333332,0.77,,,,
4808,6964,3.0,22.0,47.0,0,17.9422,0.5,3,7.95,9.6,,,,
4809,6965,2.0,3.333333333333333,36.333333333333336,1,58.8476,0.0,2,9.991666666666665,14.73,,,,
4813,6969,2.0,8.0,35.0,1,0.0,0.0,3,9.6,9.6,,,,
4816,6976,4.0,1.0,33.0,1,37.779,0.0,3,0.77,0.77,,,,
4819,6980,97.0,8.5,43.5,0,20.1662,0.0,3,8.61,9.56,,,,
4821,6983,3.625,9.25,43.25,1,60.7084,0.0,2,9.79625,16.59,,,,
