gender,race,appointed_date,rank,birth_year,resignation_date,complaint_percentile,civilian_allegation_percentile,honorable_mention_percentile,internal_allegation_percentile,trr_percentile,allegation_count,sustained_count,civilian_compliment_count,current_badge,current_salary,discipline_count,honorable_mention_count,last_unit_id,major_award_count,trr_count,unsustained_count,has_unique_name
M,Black,3/12/1962,Police Officer,1930,4/29/1982,,,0,,,0,0,0,,,0,8,6,0,0,0,TRUE
F,Black,11/17/1986,Police Agent,1950,11/20/2006,26.9261,48.5139,0,0,0,3,0,0,,75258,0,0,80,1,0,3,TRUE
M,White,5/1/1955,Police Officer,1931,1/16/1999,0,,0,,,0,0,1,,,0,2,,0,0,0,TRUE
M,Black,8/27/1990,Police Officer,1966,11/14/1998,81.6909,,0,,,10,5,0,,,2,0,4,0,0,3,TRUE
F,Black,3/16/2017,Police Officer,1984,,,,,,,1,1,0,,48078,0,0,,0,0,0,TRUE
M,White,9/14/1970,Commander,1947,1/16/1996,57.1082,,0,,,4,0,0,,,0,0,123,0,0,4,TRUE
M,Black,4/16/2019,Police Officer,1985,,,,,,,,,,18595,,,,,,,,TRUE
M,White,10/23/1972,Commander,1946,1/15/2004,24.2387,0,0,0,,3,0,0,,121728,0,0,70,0,0,2,TRUE
F,Black,5/16/2018,Police Officer,1992,,,,,,,,,,6971,,,,,,,,TRUE
M,White,4/16/2018,Police Officer,1993,,,,,,,,,,3519,,,,,,,,TRUE
M,White Hispanic,12/17/2018,Police Officer,1989,,,,,,,,,,4265,,,,,,,,TRUE
M,White,10/29/2018,Police Officer,1987,,,,,,,,,,5326,,,,,,,,TRUE
M,White,9/27/2018,Police Officer,1996,,,,,,,,,,4650,,,,,,,,TRUE
M,Black,11/27/2018,Police Officer,1994,,,,,,,,,,4386,,,,,,,,FALSE
M,White,9/27/2018,Police Officer,1995,,,,,,,,,,5781,,,,,,,,TRUE
M,White Hispanic,6/25/2018,Police Officer,1992,,,,,,,,,,15332,,,,,,,,TRUE
M,White Hispanic,4/16/2018,Police Officer,1990,,,,,,,,,,5573,,,,,,,,TRUE
F,White Hispanic,6/25/2018,Police Officer,1991,,,,,,,,,,8385,,,,,,,,TRUE
M,White,2/19/2019,Police Officer,1989,,,,,,,,,,18067,,,,,,,,TRUE
M,Unknown,3/16/2018,Police Officer,1991,,,,,,,,,,12694,,,,,,,,TRUE
M,White,6/25/2018,Police Officer,1982,,,,,,,,,,5303,,,,,,,,TRUE
M,White,2/19/2019,Police Officer,1997,,,,,,,,,,18034,,,,,,,,FALSE
M,White Hispanic,5/16/2018,Police Officer,1996,,,,,,,,,,5097,,,,,,,,TRUE
M,White,4/16/2018,Police Officer,1996,,,,,,,,,,11522,,,,,,,,TRUE
M,White,7/27/2018,Police Officer,1986,,,,,,,,,,12386,,,,,,,,TRUE
F,Black,11/27/2018,Police Officer,1987,,,,,,,,,,16164,,,,,,,,TRUE
M,White,6/24/2019,Police Officer,1964,,,,,,,,,,90001,,,,,,,,FALSE
M,White Hispanic,5/16/2018,Police Officer,1987,,,,,,,,,,14101,,,,,,,,TRUE
M,White Hispanic,5/16/2019,Police Officer,1994,,,,,,,,,,18926,,,,,,,,FALSE
M,Black,6/25/2018,Police Officer,1990,,,,,,,,,,11128,,,,,,,,TRUE
M,White,2/19/2019,Police Officer,1995,,,,,,,,,,18071,,,,,,,,TRUE
M,White Hispanic,7/27/2018,Police Officer,1995,,,,,,,,,,13036,,,,,,,,TRUE
F,White Hispanic,2/19/2019,Police Officer,1991,,,,,,,,,,14747,,,,,,,,TRUE
M,Asian/Pacific Islander,11/27/2018,Police Officer,1993,,,,,,,,,,16422,,,,,,,,TRUE
F,Black,4/16/2019,Police Officer,1983,,,,,,,,,,18745,,,,,,,,TRUE
M,Asian/Pacific Islander,10/29/2018,Police Officer,1992,,,,,,,,,,5312,,,,,,,,TRUE
M,White,9/27/2018,Police Officer,1991,,,,,,,,,,10879,,,,,,,,TRUE
M,White Hispanic,10/29/2018,Police Officer,1996,,,,,,,,,,12917,,,,,,,,TRUE
M,White Hispanic,2/19/2019,Police Officer,1996,,,,,,,,,,18043,,,,,,,,TRUE
F,White Hispanic,10/29/2018,Police Officer,1993,,,,,,,,,,19324,,,,,,,,TRUE
F,Asian/Pacific Islander,8/27/2018,Police Officer,1993,,,,,,,,,,11666,,,,,,,,TRUE
