officer_id,gender,race,appointed_date,rank,active,birth_year,civilian_allegation_percentile,honorable_mention_count,internal_allegation_percentile,trr_count,allegation_count,sustained_count,civilian_compliment_count,current_badge,discipline_count,major_award_count,unsustained_count
21109,M,Black,1991-12-16,Police Officer,Yes,1964,29.7987,5,88.3297,2,18,4,5,11653,3,0,9
21110,M,Asian/Pacific,2003-08-25,Police Officer Assigned Evidence Technician,Yes,1973,88.0656,177,86.9245,21,17,0,2,12267,0,0,4
21114,M,White,1970-01-19,Police Officer as Detective,No,1945,65.4592,1,95.2145,0,8,0,0,,0,0,5
21117,F,White,1996-11-04,Police Officer,Yes,1961,72.3141,1,0.0000,0,16,0,4,19778,0,0,8
21118,M,White,1994-12-05,Police Officer,Yes,1964,98.0616,45,0.0000,2,57,0,1,18708,0,0,31
21120,M,White,1993-12-13,Police Officer,No,1970,38.9885,6,0.0000,0,5,0,3,,0,0,2
21121,M,White,2000-12-18,Police Officer as Detective,Yes,1970,93.2729,15,90.9906,30,27,1,2,20143,1,0,9
21124,M,White,2002-04-29,Sergeant of Police,Yes,1978,99.5316,281,86.0973,45,57,0,3,999,0,2,8
21125,M,White,2002-08-26,Police Officer,No,1977,76.4124,18,73.6861,3,12,2,4,17793,0,0,3
21127,F,White,1996-12-02,Police Officer,Yes,1970,61.9992,16,61.1521,2,10,0,5,9090,0,1,4
21132,F,White,1986-10-13,Police Officer,No,1962,26.6841,3,0.0000,0,2,0,3,,0,0,1
21133,F,White,2002-05-28,Police Officer,Yes,1980,84.5974,48,0.0000,23,14,0,4,14742,0,0,1
21134,M,White,1970-03-02,Lieutenant of Police,No,1945,46.9502,2,99.2642,0,4,0,0,,0,0,2
21135,M,White,1996-11-04,Police Officer,Yes,1973,65.6966,16,0.0000,0,12,1,10,19646,1,0,6
21136,F,White,1997-03-17,Police Officer,Yes,1970,24.1180,26,61.1521,3,3,1,3,19856,0,0,0
21138,M,Hispanic,2004-10-25,Police Officer,Yes,1978,73.7343,65,75.8770,12,11,0,5,10789,0,0,4
21139,M,Hispanic,2005-10-31,Police Officer,Yes,1976,55.4265,30,0.0000,4,5,0,3,13474,0,1,0
21140,M,Native American/Alaskan Native,1998-09-28,Police Officer,Yes,1974,85.1455,23,61.1521,14,18,2,2,17376,2,0,3
21142,F,Hispanic,2009-12-16,Police Officer,Yes,1982,34.0094,12,0.0000,2,1,0,4,12370,0,0,0
21144,F,White,2017-01-17,Police Officer,Yes,1995,,0,,0,1,0,0,16196,0,0,0
